ReportDte,StateCd,SA4Cd2016,SA4Nm2016,PrtcpntCnt
30-Sep-21,SA,401,Adelaide - Central and Hills,5258
30-Sep-21,SA,402,Adelaide - North,13771
30-Sep-21,SA,403,Adelaide - South,9259
30-Sep-21,SA,404,Adelaide - West,5400
30-Sep-21,SA,405,Barossa - Yorke - Mid North,2585
30-Sep-21,SA,406,South Australia - Outback,1831
30-Sep-21,SA,407,South Australia - South East,4362
30-Sep-21,TAS,-,Other,0
30-Sep-21,TAS,601,Hobart,4774
30-Sep-21,TAS,602,Launceston and North East,3176
30-Sep-21,TAS,603,South East,560
30-Sep-21,TAS,604,West and North West,2569
30-Sep-21,VIC,-,Other,0
30-Sep-21,VIC,201,Ballarat,4257
30-Sep-21,VIC,202,Bendigo,4885
30-Sep-21,VIC,203,Geelong,9082
30-Sep-21,VIC,204,Hume,4264
30-Sep-21,VIC,205,Latrobe - Gippsland,7161
30-Sep-21,VIC,206,Melbourne - Inner,7648
30-Sep-21,VIC,207,Melbourne - Inner East,5261
30-Sep-21,VIC,208,Melbourne - Inner South,6002
30-Sep-21,VIC,209,Melbourne - North East,10872
30-Sep-21,VIC,210,Melbourne - North West,9158
30-Sep-21,VIC,211,Melbourne - Outer East,10919
30-Sep-21,VIC,212,Melbourne - South East,15074
30-Sep-21,VIC,213,Melbourne - West,17164
30-Sep-21,VIC,214,Mornington Peninsula,7081
30-Sep-21,VIC,215,North West,3723
30-Sep-21,VIC,216,Shepparton,3362
30-Sep-21,VIC,217,Warrnambool and South West,3167
30-Sep-21,WA,-,Other,0
30-Sep-21,WA,501,Bunbury,3523
30-Sep-21,WA,502,Mandurah,1822
30-Sep-21,WA,503,Perth - Inner,1972
30-Sep-21,WA,504,Perth - North East,5517
30-Sep-21,WA,505,Perth - North West,8204
30-Sep-21,WA,506,Perth - South East,8474
30-Sep-21,WA,507,Perth - South West,7238
30-Sep-21,WA,509,Western Australia - Wheat Belt,2013
30-Sep-21,WA,510,Western Australia - Outback (North),1303
30-Sep-21,WA,511,Western Australia - Outback (South),1587
30-Jun-21,ACT,-,Other,0
30-Jun-21,ACT,801,Australian Capital Territory,8581
