Year,State,Key,Region name,Active participants
2021,NSW,121,Sydney - North Sydney and Hornsby,4545
2021,NSW,122,Sydney - Northern Beaches,3067
2021,NSW,123,Sydney - Outer South West,7029
2021,NSW,124,Sydney - Outer West and Blue Mountains,8038
2021,NSW,125,Sydney - Parramatta,8213
2021,NSW,126,Sydney - Ryde,2688
2021,NSW,127,Sydney - South West,8745
2021,NSW,128,Sydney - Sutherland,3289
2021,NT,701,Darwin,2677
2021,NT,702,Northern Territory - Outback,1880
2021,OT,901,Other Territories,46
2021,QLD,301,Brisbane - East,4720
2021,QLD,302,Brisbane - North,3924
2021,QLD,303,Brisbane - South,5646
2021,QLD,304,Brisbane - West,2867
2021,QLD,305,Brisbane Inner City,3343
2021,QLD,306,Cairns,4590
2021,QLD,307,Darling Downs - Maranoa,2582
2021,QLD,308,Central Queensland,5598
2021,QLD,309,Gold Coast,10729
2021,QLD,310,Ipswich,9033
2021,QLD,311,Logan - Beaudesert,7756
2021,QLD,312,Mackay - Isaac - Whitsunday,3337
2021,QLD,313,Moreton Bay - North,6761
2021,QLD,314,Moreton Bay - South,4322
2021,QLD,315,Queensland - Outback,1195
2021,QLD,316,Sunshine Coast,7390
2021,QLD,317,Toowoomba,4206
2021,QLD,318,Townsville,5640
2021,QLD,319,Wide Bay,8803
2021,SA,401,Adelaide - Central and Hills,5463
2021,SA,402,Adelaide - North,14302
2021,SA,403,Adelaide - South,9527
2021,SA,404,Adelaide - West,5578
2021,SA,405,Barossa - Yorke - Mid North,2684
2021,SA,406,South Australia - Outback,1904
2021,SA,407,South Australia - South East,4503
2021,TAS,601,Hobart,4943
2021,TAS,602,Launceston and North East,3292
2021,TAS,603,South East,593
2021,TAS,604,West and North West,2630
2021,VIC,201,Ballarat,4368
2021,VIC,202,Bendigo,5028
2021,VIC,203,Geelong,9278
2021,VIC,204,Hume,4385
2021,VIC,205,Latrobe - Gippsland,7391
2021,VIC,206,Melbourne - Inner,7959
2021,VIC,207,Melbourne - Inner East,5410
2021,VIC,208,Melbourne - Inner South,6266
2021,VIC,209,Melbourne - North East,11208
2021,VIC,210,Melbourne - North West,9626
2021,VIC,211,Melbourne - Outer East,11260
2021,VIC,212,Melbourne - South East,15716
2021,VIC,213,Melbourne - West,18093
2021,VIC,214,Mornington Peninsula,7325
2021,VIC,215,North West,3812
2021,VIC,216,Shepparton,3456
2021,VIC,217,Warrnambool and South West,3276
2021,WA,501,Bunbury,3665
2021,WA,502,Mandurah,1896
2021,WA,503,Perth - Inner,2070
2021,WA,504,Perth - North East,5718
2021,WA,505,Perth - North West,8578
2021,WA,506,Perth - South East,8851
2021,WA,507,Perth - South West,7520
2021,WA,509,Western Australia - Wheat Belt,2085
2021,WA,510,Western Australia - Outback (North),1362
2021,WA,511,Western Australia - Outback (South),1725
2020,ACT,801,Australian Capital Territory,8142
2020,NSW,101,Capital Region,4352
2020,NSW,102,Central Coast,7839
2020,NSW,103,Central West,4202
2020,NSW,104,Coffs Harbour - Grafton,3040
2020,NSW,105,Far West and Orana,2388
2020,NSW,106,Hunter Valley exc Newcastle,7511
2020,NSW,107,Illawarra,5716
2020,NSW,108,Mid North Coast,5557
2020,NSW,109,Murray,2589
2020,NSW,110,New England and North West,3610
2020,NSW,111,Newcastle and Lake Macquarie,10246
2020,NSW,112,Richmond - Tweed,5345
2020,NSW,113,Riverina,3123
2020,NSW,114,Southern Highlands and Shoalhaven,3185
2020,NSW,115,Sydney - Baulkham Hills and Hawkesbury,2983
2020,NSW,116,Sydney - Blacktown,6882
2020,NSW,117,Sydney - City and Inner South,3079
2020,NSW,118,Sydney - Eastern Suburbs,2416
2020,NSW,119,Sydney - Inner South West,8227
2020,NSW,120,Sydney - Inner West,3053
2020,NSW,121,Sydney - North Sydney and Hornsby,4009
2020,NSW,122,Sydney - Northern Beaches,2745
2020,NSW,123,Sydney - Outer South West,6058
2020,NSW,124,Sydney - Outer West and Blue Mountains,7240
2020,NSW,125,Sydney - Parramatta,7147
2020,NSW,126,Sydney - Ryde,2409
2020,NSW,127,Sydney - South West,7556
2020,NSW,128,Sydney - Sutherland,2875
2020,NT,701,Darwin,2241
2020,NT,702,Northern Territory - Outback,1597
2020,OT,901,Other Territories,36
2020,QLD,301,Brisbane - East,3869
2020,QLD,302,Brisbane - North,3248
2020,QLD,303,Brisbane - South,4695
2020,QLD,304,Brisbane - West,2343
2020,QLD,305,Brisbane Inner City,2722
2020,QLD,306,Cairns,3749
2020,QLD,307,Darling Downs - Maranoa,2169
2020,QLD,308,Central Queensland,4583
2020,QLD,309,Gold Coast,8552
2020,QLD,310,Ipswich,7558
2020,QLD,311,Logan - Beaudesert,6012
2020,QLD,312,Mackay - Isaac - Whitsunday,2911
2020,QLD,313,Moreton Bay - North,5240
2020,QLD,314,Moreton Bay - South,3343
2020,QLD,315,Queensland - Outback,955
2020,QLD,316,Sunshine Coast,5886
2020,QLD,317,Toowoomba,3675
2020,QLD,318,Townsville,5021
2020,QLD,319,Wide Bay,7405
2020,SA,401,Adelaide - Central and Hills,4736
2020,SA,402,Adelaide - North,12336
2020,SA,403,Adelaide - South,8367
2020,SA,404,Adelaide - West,4850
2020,SA,405,Barossa - Yorke - Mid North,2334
2020,SA,406,South Australia - Outback,1666
2020,SA,407,South Australia - South East,3900
2020,TAS,601,Hobart,4248
2020,TAS,602,Launceston and North East,2809
2020,TAS,603,South East,478
2020,TAS,604,West and North West,2332
2020,VIC,201,Ballarat,3914
2020,VIC,202,Bendigo,4402
