ReportDte,StateCd,SA4Cd2016,SA4Nm2016,PrtcpntCnt
30-Jun-24,QLD,304,Brisbane - West,3968
30-Jun-24,QLD,305,Brisbane Inner City,4501
30-Jun-24,QLD,306,Cairns,6404
30-Jun-24,QLD,307,Darling Downs - Maranoa,3469
30-Jun-24,QLD,308,Central Queensland,7654
30-Jun-24,QLD,309,Gold Coast,14882
30-Jun-24,QLD,310,Ipswich,12718
30-Jun-24,QLD,311,Logan - Beaudesert,12223
30-Jun-24,QLD,312,Mackay - Isaac - Whitsunday,4333
30-Jun-24,QLD,313,Moreton Bay - North,9766
30-Jun-24,QLD,314,Moreton Bay - South,6307
30-Jun-24,QLD,315,Queensland - Outback,1681
30-Jun-24,QLD,316,Sunshine Coast,10330
30-Jun-24,QLD,317,Toowoomba,5348
30-Jun-24,QLD,318,Townsville,7402
30-Jun-24,QLD,319,Wide Bay,11519
30-Jun-24,QLD,702,Northern Territory - Outback,0
30-Jun-24,SA,-,Other,0
30-Jun-24,SA,401,Adelaide - Central and Hills,7099
30-Jun-24,SA,402,Adelaide - North,18826
30-Jun-24,SA,403,Adelaide - South,12226
30-Jun-24,SA,404,Adelaide - West,7077
30-Jun-24,SA,405,Barossa - Yorke - Mid North,3377
30-Jun-24,SA,406,South Australia - Outback,2378
30-Jun-24,SA,407,South Australia - South East,5748
30-Jun-24,TAS,-,Other,0
30-Jun-24,TAS,601,Hobart,6182
30-Jun-24,TAS,602,Launceston and North East,4073
30-Jun-24,TAS,603,South East,792
30-Jun-24,TAS,604,West and North West,3097
30-Jun-24,VIC,-,Other,0
30-Jun-24,VIC,201,Ballarat,5714
30-Jun-24,VIC,202,Bendigo,6579
30-Jun-24,VIC,203,Geelong,11748
30-Jun-24,VIC,204,Hume,5599
30-Jun-24,VIC,205,Latrobe - Gippsland,9444
30-Jun-24,VIC,206,Melbourne - Inner,10401
30-Jun-24,VIC,207,Melbourne - Inner East,6623
30-Jun-24,VIC,208,Melbourne - Inner South,8178
30-Jun-24,VIC,209,Melbourne - North East,15069
30-Jun-24,VIC,210,Melbourne - North West,13135
30-Jun-24,VIC,211,Melbourne - Outer East,14304
30-Jun-24,VIC,212,Melbourne - South East,21170
30-Jun-24,VIC,213,Melbourne - West,25870
30-Jun-24,VIC,214,Mornington Peninsula,9866
30-Jun-24,VIC,215,North West,4910
30-Jun-24,VIC,216,Shepparton,4410
30-Jun-24,VIC,217,Warrnambool and South West,3980
30-Jun-24,WA,-,Other,0
30-Jun-24,WA,406,South Australia - Outback,0
30-Jun-24,WA,501,Bunbury,4600
30-Jun-24,WA,502,Mandurah,2558
30-Jun-24,WA,503,Perth - Inner,2676
30-Jun-24,WA,504,Perth - North East,7150
30-Jun-24,WA,505,Perth - North West,11600
30-Jun-24,WA,506,Perth - South East,11653
30-Jun-24,WA,507,Perth - South West,10006
30-Jun-24,WA,509,Western Australia - Wheat Belt,2700
30-Jun-24,WA,510,Western Australia - Outback (North),1746
30-Jun-24,WA,511,Western Australia - Outback (South),2423
30-Jun-24,WA,702,Northern Territory - Outback,31
30-Jun-24,WA,901,Other Territories,0
31-Mar-24,ACT,-,Other,0
31-Mar-24,ACT,801,Australian Capital Territory,10779
31-Mar-24,MIS,-,Other,62
31-Mar-24,NSW,-,Other,0
31-Mar-24,NSW,101,Capital Region,5837
31-Mar-24,NSW,102,Central Coast,10975
31-Mar-24,NSW,103,Central West,5898
31-Mar-24,NSW,104,Coffs Harbour - Grafton,4439
31-Mar-24,NSW,105,Far West and Orana,3488
31-Mar-24,NSW,106,Hunter Valley exc Newcastle,10889
31-Mar-24,NSW,107,Illawarra,8113
31-Mar-24,NSW,108,Mid North Coast,8021
31-Mar-24,NSW,109,Murray,3783
31-Mar-24,NSW,110,New England and North West,5079
31-Mar-24,NSW,111,Newcastle and Lake Macquarie,13549
31-Mar-24,NSW,112,Richmond - Tweed,7586
31-Mar-24,NSW,113,Riverina,4383
31-Mar-24,NSW,114,Southern Highlands and Shoalhaven,4161
31-Mar-24,NSW,115,Sydney - Baulkham Hills and Hawkesbury,4486
31-Mar-24,NSW,116,Sydney - Blacktown,10635
31-Mar-24,NSW,117,Sydney - City and Inner South,4392
31-Mar-24,NSW,118,Sydney - Eastern Suburbs,3552
31-Mar-24,NSW,119,Sydney - Inner South West,11650
31-Mar-24,NSW,120,Sydney - Inner West,4267
31-Mar-24,NSW,121,Sydney - North Sydney and Hornsby,5675
31-Mar-24,NSW,122,Sydney - Northern Beaches,3803
31-Mar-24,NSW,123,Sydney - Outer South West,9181
31-Mar-24,NSW,124,Sydney - Outer West and Blue Mountains,10297
31-Mar-24,NSW,125,Sydney - Parramatta,10354
31-Mar-24,NSW,126,Sydney - Ryde,3315
31-Mar-24,NSW,127,Sydney - South West,11355
31-Mar-24,NSW,128,Sydney - Sutherland,4286
31-Mar-24,NSW,801,Australian Capital Territory,0
31-Mar-24,NSW,901,Other Territories,12
31-Mar-24,NT,-,Other,0
31-Mar-24,NT,406,South Australia - Outback,51
31-Mar-24,NT,510,Western Australia - Outback (North),0
31-Mar-24,NT,511,Western Australia - Outback (South),16
31-Mar-24,NT,701,Darwin,3480
31-Mar-24,NT,702,Northern Territory - Outback,2368
31-Mar-24,OT,901,Other Territories,64
31-Mar-24,QLD,-,Other,0
31-Mar-24,QLD,301,Brisbane - East,6502
31-Mar-24,QLD,302,Brisbane - North,5230
31-Mar-24,QLD,303,Brisbane - South,7691
31-Mar-24,QLD,304,Brisbane - West,3900
31-Mar-24,QLD,305,Brisbane Inner City,4411
31-Mar-24,QLD,306,Cairns,6300
31-Mar-24,QLD,307,Darling Downs - Maranoa,3393
31-Mar-24,QLD,308,Central Queensland,7515
31-Mar-24,QLD,309,Gold Coast,14646
